substrand_id;indicator_id;weight
40400205 ;404203;1
40400301 ;404301;1
40400301 ;404302;1
40400301 ;404303;1
40400302 ;404301;1
40400302 ;404302;1
40400302 ;404303;1
40400303 ;404301;1
40400303 ;404302;1
40400303 ;404303;1
40400401 ;404401;1
40400401 ;404402;1
40500101 ;405101;1
40500101 ;405102;1
40500101 ;405103;0
40500101 ;405104;0
40500102 ;405101;1
40500102 ;405102;0
40500102 ;405103;0
40500102 ;405104;0
40500103 ;405101;0
40500103 ;405102;0
40500103 ;405103;1
40500103 ;405104;1
40500201 ;405201;1
40500201 ;405202;0
40500201 ;405203;0
40500202 ;405201;0
40500202 ;405202;1
40500202 ;405203;0
40500203 ;405201;0
40500203 ;405202;0
40500203 ;405203;1
40500301 ;405301;1
40500301 ;405302;0
40500301 ;405303;0
40500301 ;405304;0
40500301 ;405305;0
40500302 ;405301;0
40500302 ;405302;1
40500302 ;405303;1
40500302 ;405304;0
40500302 ;405305;0
40500303 ;405301;0
40500303 ;405302;0
40500303 ;405303;0
40500303 ;405304;1
40500303 ;405305;1
40600101 ;406101;1
40600101 ;406102;1
40600101 ;406103;1
40600101 ;406104;1
40600101 ;406105;1
40600101 ;406106;1
40600101 ;406107;0
40600101 ;406108;0
40600101 ;406109;0
40600101 ;406110;0
40600101 ;406111;0
40600101 ;406112;0
40600101 ;406113;0
40600101 ;406114;0
40600102 ;406101;0
40600102 ;406102;0
40600102 ;406103;0
40600102 ;406104;0
40600102 ;406105;0
40600102 ;406106;0
40600102 ;406107;1
40600102 ;406108;1
40600102 ;406109;0
40600102 ;406110;0
40600102 ;406111;0
40600102 ;406112;0
40600102 ;406113;0
40600102 ;406114;0
40600103 ;406101;0
40600103 ;406102;0
40600103 ;406103;0
40600103 ;406104;0
40600103 ;406105;0
40600103 ;406106;0
40600103 ;406107;0
40600103 ;406108;1
40600103 ;406109;1
40600103 ;406110;0
40600103 ;406111;0
40600103 ;406112;0
40600103 ;406113;0
40600103 ;406114;0
40600104 ;406101;0
40600104 ;406102;0
40600104 ;406103;0
40600104 ;406104;0
40600104 ;406105;0
40600104 ;406106;0
40600104 ;406107;0
40600104 ;406108;1
40600104 ;406109;0
40600104 ;406110;1
40600104 ;406111;0
40600104 ;406112;0
40600104 ;406113;0
40600104 ;406114;0
40600105 ;406101;0
40600105 ;406102;0
40600105 ;406103;0
40600105 ;406104;0
40600105 ;406105;0
40600105 ;406106;0
40600105 ;406107;0
40600105 ;406108;0
40600105 ;406109;0
40600105 ;406110;0
40600105 ;406111;1
40600105 ;406112;0
40600105 ;406113;0
40600105 ;406114;0
40600106 ;406101;0
40600106 ;406102;0
40600106 ;406103;0
40600106 ;406104;0
40600106 ;406105;0
40600106 ;406106;0
40600106 ;406107;0
40600106 ;406108;0
40600106 ;406109;0
40600106 ;406110;0
40600106 ;406111;0
40600106 ;406112;1
40600106 ;406113;1
40600106 ;406114;0
40600107 ;406101;0
40600107 ;406102;0
40600107 ;406103;0
40600107 ;406104;0
40600107 ;406105;0
40600107 ;406106;0
40600107 ;406107;0
40600107 ;406108;0
40600107 ;406109;0
40600107 ;406110;0
40600107 ;406111;0
40600107 ;406112;0
40600107 ;406113;0
40600107 ;406114;1
40600108 ;406101;0
40600108 ;406102;0
40600108 ;406103;0
40600108 ;406104;0
40600108 ;406105;1
40600108 ;406106;0
40600108 ;406107;0
40600108 ;406108;1
40600108 ;406109;0
40600108 ;406110;0
40600108 ;406111;0
40600108 ;406112;0
40600108 ;406113;0
40600108 ;406114;0
40600201 ;406201;1
40600201 ;406202;1
40600201 ;406203;1
40600201 ;406204;1
40600201 ;406205;0
40600201 ;406206;0
40600201 ;406207;0
40600201 ;406208;0
40600201 ;406209;0
40600201 ;406210;0
40600201 ;406211;0
40600201 ;406212;0
40600202 ;406201;0
40600202 ;406202;0
40600202 ;406203;0
40600202 ;406204;0
40600202 ;406205;1
40600202 ;406206;0
40600202 ;406207;0
40600202 ;406208;0
40600202 ;406209;0
40600202 ;406210;0
40600202 ;406211;0
40600202 ;406212;0
40600203 ;406201;0
40600203 ;406202;0
40600203 ;406203;0
40600203 ;406204;0
40600203 ;406205;0
40600203 ;406206;1
40600203 ;406207;0
40600203 ;406208;0
40600203 ;406209;0
40600203 ;406210;0
40600203 ;406211;0
40600203 ;406212;0
40600204 ;406201;0
